Code,Name,Level,Card_type,Color,Form,Attribute,Digimon_type,DP,Play_cost,Digivolve_cost_1,Digivolve_level_1,Digivolve_cost_2,Digivolve_level_2,Effect,Digivolve_effect,Security_effect,Deck_type,Deck_name
P-040,Purple Memory Boost!,NULL,Option,Purple,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,"[Main] Reveal the top 4 cards of your deck. Add 1 purple Digimon card among them to your hand. Place the remaining cards at the bottom of your deck in any order. Then, place this card in your battle area.[Main] ＜Delay＞ (Trash this card in your battle area to activate the effect below. You can't activate this effect the turn this card enters play.) ・Gain 2 memory.",NULL,[Security] Place this card in its owner's battle area.,Promotion pack,1st year Anniversary SR campaign card
BT2-058,Guardromon,4,Digimon,Black,Champion,Virus,Machine,7000,5,2,3,NULL,NULL,"＜Blocker＞ (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)[Your Turn] This Digimon can't attack.",NULL,NULL,Promotion pack,Tamer Battle Pack 5
P-028,Pulsemon,3,Digimon,Yellow,Rookie,Vaccine,Beastkin,2000,3,0,2,NULL,NULL,"[On Play] If you have 3 or more security cards, trigger ＜Draw 1＞. (Draw 1 card from your deck.) If you have 3 or fewer security cards, gain 1 memory.",NULL,NULL,Promotion pack,Participation Prize for Apr.2021 Tamer Workshop/Participation Prize for BANDAI TCG ONLINE FESTIVAL
P-029,Agunimon,4,Digimon,Red,Hybrid,Variable,Wizard,4000,5,2,3,NULL,NULL,"[When Attacking] This Digimon can digivolve into an [AncientGreymon] in your hand for a memory cost of 2, ignoring its digivolution requirements. If it does, delete this Digimon at the end of the turn.","[Your Turn] When digivolving this Digimon into an [AncientGreymon] in your hand, reduce its digivolution cost by 2.",NULL,Promotion pack,1st year Anniversary promotion pack
P-030,Lobomon,4,Digimon,Blue,Hybrid,Variable,Warrior,4000,5,2,3,NULL,NULL,"[When Digivolving] This Digimon can digivolve into an [AncientGarurumon] in your hand for a memory cost of 1, ignoring its digivolution requirements. If it does, delete this Digimon at the end of the turn.","[Your Turn] When digivolving this Digimon into an [AncientGarurumon] in your hand, reduce its digivolution cost by 2.",NULL,Promotion pack,1st year Anniversary promotion pack
P-031,Gatomon,4,Digimon,Yellow,Champion,Vaccine,Holy Beast,5000,6,2,3,NULL,NULL,"[Opponent's Turn] While you have a purple Digimon in play, this Digimon gains ＜Blocker＞. (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)[On Play] If you have 3 or fewer security cards, trigger ＜Recovery +1 (Deck)＞. (Place the top card of your deck on top of your security stack.)",NULL,NULL,Promotion pack,1st year Anniversary promotion pack
P-032,Palmon,3,Digimon,Green,Rookie,Data,Vegetation,2000,3,0,2,NULL,NULL,NULL,"[Your Turn] When this card is trashed due to activating this Digimon's ＜Digi-Burst＞, 1 of your Digimon gains ＜Jamming＞ (This Digimon can't be deleted in battles against Security Digimon) for the turn.",NULL,Promotion pack,1st year Anniversary promotion pack
P-033,Sunarizamon,3,Digimon,Black,Rookie,Virus,Reptile,2000,3,0,2,NULL,NULL,"[Your Turn] All of your black Digimon with 13000 DP or more gain ＜Piercing＞. (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would.)","[Your Turn] While this Digimon is black and has 13000 DP or more, this Digimon gains ＜Security Attack +1＞. (This Digimon checks 1 additional security card.)",NULL,Promotion pack,1st year Anniversary promotion pack
P-034,DemiDevimon,3,Digimon,Purple,Rookie,Virus,Evil,2000,3,0,2,NULL,NULL,NULL,"[On Deletion] If you have 7 or more Digimon cards with [Devimon] in their names in your trash, you may play 1 [DanDevimon] from your trash without paying its memory cost.",NULL,Promotion pack,1st year Anniversary promotion pack
BT1-057,Sirenmon,5,Digimon,Yellow,Ultimate,Data,Shaman,6000,5,2,4,NULL,NULL,NULL,NULL,NULL,Promotion pack,Tamer Battle Pack 4
BT2-061,Andromon,5,Digimon,Black,Ultimate,Vaccine,Cyborg,7000,7,3,4,NULL,NULL,"＜Blocker＞ (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)",NULL,NULL,Promotion pack,Tamer Battle Pack 4
BT2-077,Kimeramon,5,Digimon,Purple,Ultimate,Data,Composite,7000,7,3,4,NULL,NULL,[On Play] You may delete one of your other Digimon to delete 1 of your opponent's level 5 or lower Digimon.,NULL,NULL,Promotion pack,Tamer Battle Pack 4
P-024,Tai's Growing Up!,NULL,Option,Red,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[Main] If you have [Tai Kamiya] in play, you may place 1 of your [Agumon] cards at the bottom of its owner's deck to trigger ＜Draw 3＞. (Draw 3 cards from your deck.) Trash that Digimon's digivolution cards.",NULL,[Security] Add this card to your hand.,Promotion pack,Participation Prize for Jan.2021 Tamer Workshop
BT1-038,Monzaemon,5,Digimon,Blue,Ultimate,Vaccine,Puppet,6000,5,2,4,NULL,NULL,NULL,NULL,NULL,Promotion pack,Tamer Battle Pack 3
BT2-017,WarGrowlmon,5,Digimon,Red,Ultimate,Virus,Cyborg,8000,8,3,4,NULL,NULL,"[When Digivolving] If you have a red Tamer in play, delete 1 of your opponent's Digimon with 3000 DP or less.","[Your Turn] While there are 5 or more cards in your opponent's recycle bin, this Digimon gets +1000 DP.",NULL,Promotion pack,Tamer Battle Pack 3
BT2-038,RizeGreymon,5,Digimon,Yellow,Ultimate,Vaccine,Cyborg,7000,8,3,4,NULL,NULL,[When Digivolving] You can play 1 yellow Tamer card from your hand without paying its memory cost. Any [On Play] effects on the Tamer played with this effect don't activate.,"[Your Turn] If you have 3 or more yellow Tamers in play, this Digimon gains ＜Security Attack +1＞. (This Digimon checks 1 additional security card.)",NULL,Promotion pack,Tamer Battle Pack 3
BT2-047,Argomon,5,Digimon,Green,Ultimate,Virus,Mutant,6000,8,3,4,NULL,NULL,"＜Digisorption -3＞ (When one of your Digimon digivolves into this card from your hand, you may suspend 1 Digimon to reduce the memory cost of the digivolution by 3.)",[When Attacking] You can play 1 green Level 3 Digimon from your hand suspended without paying its memory cost.,NULL,Promotion pack,Tamer Battle Pack 3
P-023,Patamon's Confession,NULL,Option,Yellow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[Main] If you have [T.K. Takaishi] in play, place 1 of your [Patamon] at the bottom of your security stack face down. Trash that Digimon's digivolution cards.",NULL,[Security] Add this card to your hand.,Promotion pack,Participation Prize for Dec.2020 Tamer Workshop
P-025,GranKuwagamon,6,Digimon,Green,Mega,Insectoid,Free,11000,11,3,5,NULL,NULL,[Main] ＜Digi-Burst 2＞ (Trash 2 of this Digimon's digivolution cards to activate the effect below.)・1 of your Digimon gains ＜Security Attack +1＞ (This Digimon checks 1 additional security card) for the turn.,NULL,NULL,start deck,S
P-026,BlackWarGreymon,6,Digimon,Black,Mega,Dragonkin,Virus,11000,11,3,5,NULL,NULL,[Main] ＜Digi-Burst 2＞ (Trash 2 of this Digimon's digivolution cards to activate the effect below.)・Unsuspend this Digimon.,NULL,NULL,start deck,S
P-027,MetalGarurumon,6,Digimon,Purple,Mega,Cyborg,Virus,11000,11,3,5,NULL,NULL,[Main] ＜Digi-Burst 2＞ (Trash 2 of this Digimon's digivolution cards to activate the effect below.)・Use a purple Option card with a memory cost of 7 or less in your hand without paying its memory cost.,NULL,NULL,start deck,S
P-022,DNA Digivolution - Hearts United,NULL,Option,Blue,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[Main] If you have [Davis Motomiya] and [Ken Ichijoji] in play, you may place 1 [ExVeemon] and 1 [Stingmon] from your hand at the bottom of your deck in any order to play 1 [Paildramon] from your hand without paying its memory cost.",NULL,[Security] Add this card to your hand.,Promotion pack,Participation Prize for Nov.2020 Tamer Workshop
P-021,A New World,NULL,Option,Green,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[Main] If you have [Mimi Tachikawa] in play, you may play a [Palmon] from your hand without paying its memory cost to return 1 of your [Mimi Tachikawa] cards to its owner's hand.",NULL,[Security] Add this card to your hand.,Promotion pack,Participation Prize for Oct.2020 Tamer Workshop
BT1-079,Lillymon,5,Digimon,Green,Ultimate,Data,Fairy,6000,7,2,4,NULL,NULL,NULL,[When Attacking] Suspend 1 of your opponent's Digimon without ＜Blocker＞.,NULL,Promotion pack,Tamer Battle Pack 2
ST1-08,Garudamon,5,Digimon,Red,Ultimate,Vaccine,Birdkin,7000,6,3,4,NULL,NULL,[When Digivolving] 1 of your Digimon gets +3000 DP for the turn.,NULL,NULL,Promotion pack,Tamer Battle Pack 2
ST2-08,WereGarurumon,5,Digimon,Blue,Ultimate,Vaccine,Beastkin,7000,7,3,4,NULL,NULL,NULL,"[Your Turn] As long as your opponent has a Digimon with no digivolution cards, this Digimon gets ＜Security Attack +1＞ (This Digimon checks 1 extra security card.).",NULL,Promotion pack,Tamer Battle Pack 2
ST1-09,MetalGreymon,5,Digimon,Red,Ultimate,Vaccine,Cyborg,7000,7,3,4,NULL,NULL,NULL,"[Your Turn] When this Digimon is blocked, gain 3 memory.",NULL,Promotion pack,Tamer Battle Pack 1
ST2-09,Zudomon,5,Digimon,Blue,Ultimate,Vaccine,Sea Beast,7000,6,3,4,NULL,NULL,[When Digivolving] Trash 2 digivolution cards under an opponent's Digimon.,NULL,NULL,Promotion pack,Tamer Battle Pack 1
ST3-09,Angewomon,5,Digimon,Yellow,Ultimate,Vaccine,Archangel,7000,6,3,4,NULL,NULL,"[When Digivolving] When you have 3 security cards or less, trigger ＜Recovery +1 (Deck)＞ (Take the top card of your deck and place it on top of your security stack.).",NULL,NULL,Promotion pack,Tamer Battle Pack 1
P-013,Keramon,3,Digimon,Black,Rookie,Unknown,Unidentified,2000,3,0,2,NULL,NULL,NULL,[Opponent's Turn] This Digimon gets +1000 DP.,NULL,Promotion pack,Promotion Pack
P-014,Kurisarimon,4,Digimon,Black,Champion,Unknown,Unidentified,5000,4,2,3,NULL,NULL,"＜Blocker＞ (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)[When Attacking] Lose 2 memory.",NULL,NULL,Promotion pack,Promotion Pack
P-015,Infermon,5,Digimon,Black,Ultimate,Unknown,Unidentified,7000,7,3,4,NULL,NULL,"[On Play] Trigger ＜De-DigivoLv.e 1＞ on 1 of your opponent's Digimon. (Trash a card from the top of one of your opponent's Digimon. If it has no digivolution cards, or becomes a level 3 Digimon, you can't trash any more cards.)",NULL,NULL,Promotion pack,Promotion Pack
P-016,Diaboromon,6,Digimon,Black,Mega,Unknown,Unidentified,11000,11,3,5,NULL,NULL,"[Your Turn] For each [Diaboromon] you have in play, this Digimon gets ＜Security Attack +1＞. (This Digimon checks 1 additional security card.)",NULL,NULL,Promotion pack,Promotion Pack
P-017,DemiDevimon,3,Digimon,Purple,Rookie,Virus,Evil,2000,3,0,2,NULL,NULL,[On Play] Trash the top 2 cards of your deck.,NULL,NULL,Promotion pack,Promotion Pack
P-018,Devimon,4,Digimon,Purple,Champion,Virus,Fallen Angel,3000,5,2,3,NULL,NULL,[On Play] Delete 1 of your opponent's level 3 Digimon.,NULL,NULL,Promotion pack,Promotion Pack
P-019,Myotismon,5,Digimon,Purple,Ultimate,Virus,Undead,7000,7,3,4,NULL,NULL,NULL,"＜Retaliation＞ (When this Digimon is deleted after losing a battle, delete the Digimon it was battling.)",NULL,Promotion pack,Promotion Pack
P-020,VenomMyotismon,6,Digimon,Purple,Mega,Virus,Dark Animal,11000,11,3,5,NULL,NULL,[On Deletion] You may play a purple Digimon Card with a level of 4 or less from your trash without paying its memory cost. Any [On Play] effects on Digimon played with this effect don't activate.,NULL,NULL,Promotion pack,Promotion Pack
P-001,Agumon,3,Digimon,Red,Rookie,Vaccine,Reptile,3000,5,0,2,NULL,NULL,[On Play] Delete 1 of your opponent's Digimon with 3000 DP or less.,NULL,NULL,Promotion pack,Promotion Pack Ver0.0
P-002,Biyomon,3,Digimon,Red,Rookie,Vaccine,Bird,2000,3,0,2,NULL,NULL,NULL,"[Your Turn] When this Digimon deletes one of your opponent's Digimon in battle and survives, trigger ＜Draw 1＞. (Draw 1 card from your deck.)",NULL,Promotion pack,Promotion Pack Ver0.0
P-003,Gabumon,3,Digimon,Blue,Rookie,Data,Reptile,3000,4,0,2,NULL,NULL,[On Play] Trash the bottom digivolution card of 1 of your opponent's Digimon.,NULL,NULL,Promotion pack,Promotion Pack Ver0.0
P-004,Gomamon,3,Digimon,Blue,Rookie,Vaccine,Sea Beast,1000,3,0,2,NULL,NULL,NULL,"[Your Turn][Once Per Turn] When you trash a digivolution card of 1 of your opponent's Digimon, gain 1 memory.",NULL,Promotion pack,Promotion Pack Ver0.0
P-005,Patamon,3,Digimon,Yellow,Rookie,Data,Mammal,2000,4,0,2,NULL,NULL,"[On Play] If you have 1 or fewer security cards, trigger ＜Recovery +1 (Deck)＞. (Place the top card of your deck on top of your security stack.)",NULL,NULL,Promotion pack,Promotion Pack Ver0.0
P-006,Gatomon,4,Digimon,Yellow,Champion,Vaccine,Holy Beast,4000,4,2,3,NULL,NULL,NULL,"[Your Turn] While you have 3 or more security cards, this Digimon gets +1000 DP.",NULL,Promotion pack,Promotion Pack Ver0.0
ST6-01,Pagumon,2,Digi-Egg,Purple,In-Training,NULL,Lesser,NULL,NULL,NULL,NULL,NULL,NULL,NULL,[On Deletion] Trash the top 2 cards of your deck.,NULL,start deck, Venom Violet[St-6]
ST6-02,DemiDevimon,3,Digimon,Purple,Rookie,Virus,Evil,4000,2,1,2,NULL,NULL,NULL,NULL,NULL,start deck, Venom Violet[St-6]
ST6-03,Gabumon,3,Digimon,Purple,Rookie,Data,Reptile,2000,3,0,2,NULL,NULL,NULL,"[When Attacking] Trigger ＜Draw 1＞. (Draw 1 card from your deck.) Then, trash 1 card in your hand.",NULL,start deck, Venom Violet[St-6]
ST6-04,Dracmon,3,Digimon,Purple,Rookie,Virus,Undead,2000,3,0,2,NULL,NULL,[On Play] You may return 1 purple Option card with a memory cost of 1 or 7 from your trash to your hand.,NULL,NULL,start deck, Venom Violet[St-6]
ST6-05,Elecmon,3,Digimon,Purple,Rookie,Virus,Mammal,5000,4,0,2,NULL,NULL,NULL,NULL,NULL,start deck, Venom Violet[St-6]
ST6-06,Garurumon,4,Digimon,Purple,Champion,Virus,Beast,4000,4,2,3,NULL,NULL,NULL,"[When Attacking] Trigger ＜Draw 1＞. (Draw 1 card from your deck.) Then, trash 1 card in your hand.",NULL,start deck, Venom Violet[St-6]
ST6-07,Youkomon,4,Digimon,Purple,Champion,Data,Mysterious Beast,6000,5,2,3,NULL,NULL,NULL,NULL,NULL,start deck, Venom Violet[St-6]
ST6-09,Kyukimon,5,Digimon,Purple,Ultimate,Virus,Mysterious Beast,9000,6,3,4,NULL,NULL,NULL,NULL,NULL,start deck, Venom Violet[St-6]
ST6-10,SkullSatamon,5,Digimon,Purple,Ultimate,Virus,Undead,7000,6,3,4,NULL,NULL,[When Digivolving] You may return 1 purple Digimon card from your trash to your hand.,NULL,NULL,start deck, Venom Violet[St-6]
ST6-11,WereGarurumon,5,Digimon,Purple,Ultimate,Virus,Beastkin,7000,7,3,4,NULL,NULL,NULL,"[Your Turn] While there are 5 or more cards in your trash, this Digimon gets +2000 DP.",NULL,start deck, Venom Violet[St-6]
ST6-12,VenomMyotismon,6,Digimon,Purple,Mega,Virus,Dark Animal,11000,10,3,4,NULL,NULL,"[When Digivolving] Up to 2 of your Digimon gain ＜Retaliation＞ (When this Digimon is deleted after losing a battle, delete the Digimon it was battling) until the end of your opponent's next turn.",NULL,NULL,start deck, Venom Violet[St-6]
ST6-13,CresGarurumon,6,Digimon,Purple,Mega,Data,Beast Knight,12000,12,4,5,NULL,NULL,＜Security Attack +1＞ (This Digimon checks 1 additional security card.)[Main] ＜Digi-Burst 2＞ (Trash 2 of this Digimon's Digivolution cards to activate the effect below.)・Play 1 purple level 3 Digimon card from your trash without paying its memory cost.,NULL,NULL,start deck, Venom Violet[St-6]
ST6-14,Matt Ishida,NULL,Tamer,Purple,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,"[Your Turn] When one of your Digimon is deleted, you may suspend this Tamer to gain 1 memory.",NULL,[Security] Play this card without paying its memory cost.,start deck, Venom Violet[St-6]
ST6-15,Death Claw,NULL,Option,Purple,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,[Main] You may delete 1 of your Digimon to delete 1 of your opponent's level 4 or lower Digimon.,NULL,[Security] Delete 1 of your opponent's level 4 or lower Digimon.,start deck, Venom Violet[St-6]
ST6-16,Nail Bone,NULL,Option,Purple,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,[Main] You may play 1 purple level 3 Digimon card and 1 purple level 4 Digimon card from your trash without paying their memory costs. Any [On Play] effects on Digimon played with this effect don't activate.,NULL,[Security] You may play 1 purple level 4 or lower Digimon card from your trash without paying its memory cost. Any [On Play] effects on Digimon played with this effect don't activate.,start deck, Venom Violet[St-6]
ST3-01,Tokomon,2,Digi-Egg,Yellow,In-Training,NULL,Lesser,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[Your Turn][Once Per Turn] When an opponent's Digimon is deleted by dropping to 0 DP, this Digimon gets +1000 DP for the turn.",NULL,start deck, Heaven'S Yellow [St-3]
ST3-02,Salamon,3,Digimon,Yellow,Rookie,Vaccine,Mammal,3000,2,0,2,NULL,NULL,NULL,NULL,NULL,start deck, Heaven'S Yellow [St-3]
ST3-03,Tapirmon,3,Digimon,Yellow,Rookie,Vaccine,Holy Beast,4000,3,0,2,NULL,NULL,NULL,NULL,NULL,start deck, Heaven'S Yellow [St-3]
ST3-04,Patamon,3,Digimon,Yellow,Rookie,Data,Mammal,1000,3,0,2,NULL,NULL,NULL,"[Your Turn][Once Per Turn] When an opponent's Digimon is deleted by dropping to 0 DP, gain 1 memory.",NULL,start deck, Heaven'S Yellow [St-3]
ST3-06,Gatomon,4,Digimon,Yellow,Champion,Vaccine,Holy Beast,5000,4,2,3,NULL,NULL,NULL,NULL,NULL,start deck, Heaven'S Yellow [St-3]
ST3-10,Magnadramon,6,Digimon,Yellow,Mega,Vaccine,Holy Dragon/Four Great Dragons,12000,10,2,5,NULL,NULL,NULL,NULL,NULL,start deck, Heaven'S Yellow [St-3]
ST3-11,Seraphimon,6,Digimon,Yellow,Mega,Vaccine,Seraph/,10000,12,4,5,NULL,NULL,[When Attacking] 1 of your opponent's Digimon gets -4000 DP for the turn.,NULL,NULL,start deck, Heaven'S Yellow [St-3]
ST3-12,Takeru Takaishi,NULL,Tamer,Yellow,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,[Opponent's Turn] All of your Security Digimon get +2000 DP.,NULL,[Security] Play this card without paying its cost.,start deck, Heaven'S Yellow [St-3]
ST3-13,Heaven's Gate,NULL,Option,Yellow,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,[Main] 1 of your Digimon gets +3000 DP for the turn.,NULL,[Security] All of your Digimon and Security Digimon get +5000 DP for the turn. Add this card to its owner's hand.,start deck, Heaven'S Yellow [St-3]
ST3-14,Heaven's Charm,NULL,Option,Yellow,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,[Main] 1 of your opponent's Digimon gets -2000 DP for the turn.,NULL,[Security] Add this card to its owner's hand.,start deck, Heaven'S Yellow [St-3]
ST3-15,Holy Flame,NULL,Option,Yellow,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,[Main] 1 of your opponent's Digimon gets ＜Security Attack -3＞ (This Digimon checks 3 fewer security cards.) until the end of your opponent's next turn.,NULL,[Security] All of your opponent's Digimon get ＜Security Attack -1＞ (This Digimon checks 1 fewer security card.) for the turn.,start deck, Heaven'S Yellow [St-3]
ST3-16,Seven Heavens,NULL,Option,Yellow,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,[Main] 1 of your opponent's Digimon gets -1000 DP for the turn.,NULL,[Security] Activate this card's [Main] effect.,start deck, Heaven'S Yellow [St-3]
BT6-001,DemiMeramon,2,Digi-Egg,Red,In-Training,NULL,Flame,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[When Attacking] When this Digimon attacks a player, it gets +1000 DP for the turn.",NULL,booster, Double Diamond [Bt-06]
BT6-002,Kyaromon,2,Digi-Egg,Blue,In-Training,NULL,Lesser,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[Your Turn][Once Per Turn] When one of your opponent's digivolution cards is trashed, trigger ＜Draw 1＞. (Draw 1 card from your deck.)",NULL,booster, Double Diamond [Bt-06]
BT6-003,Bibimon,2,Digi-Egg,Yellow,In-Training,NULL,Lesser,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[When Attacking][Once Per Turn] If you have 3 security cards, gain 1 memory.",NULL,booster, Double Diamond [Bt-06]
BT6-004,Pinamon,2,Digi-Egg,Green,In-Training,NULL,Bird,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[When Attacking][Once Per Turn] If you attack an opponent's Digimon, trigger ＜Draw 1＞. (Draw 1 card from your deck.)",NULL,booster, Double Diamond [Bt-06]
BT6-005,Pagumon,2,Digi-Egg,Black,In-Training,NULL,Lesser,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[On Deletion] Reveal the top card of your deck. Add it to your hand if it's a black Digimon card. Otherwise, place it at the bottom of your deck.",NULL,booster, Double Diamond [Bt-06]
BT6-006,Tsunomon,2,Digi-Egg,Purple,In-Training,NULL,Lesser,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[Your Turn][Once Per Turn] When you trash a card in your hand using one of your effects, trigger ＜Draw 1＞. (Draw 1 card from your deck.)",NULL,booster, Double Diamond [Bt-06]
BT6-007,Agumon,3,Digimon,Red,Rookie,Vaccine,Reptile,2000,3,0,2,NULL,NULL,"[All Turns][Once Per Turn] When you play a Tamer with [Tai Kamiya] in its name, gain 1 memory.","[Your Turn] While this Digimon is [Agumon - Bond of Bravery], it gains ＜Security Attack +1＞. (This Digimon checks 1 additional security card.)",NULL,booster, Double Diamond [Bt-06]
BT6-008,Shoutmon,3,Digimon,Red,Rookie,Data,Mini Dragon,2000,3,0,2,NULL,NULL,NULL,"[When Attacking][Once Per Turn] If this Digimon has ＜Blitz＞, trigger ＜Draw 1＞. (Draw 1 card from your deck.)",NULL,booster, Double Diamond [Bt-06]
BT6-009,Huckmon,3,Digimon,Red,Rookie,Data,Mini Dragon,2000,3,0,2,NULL,NULL,"[On Play] Reveal the top 5 cards of your deck. Add up to 2 Digimon cards with [Huckmon], [Jesmon], or [Sistermon] in their names among them to your hand. Place the remaining cards at the bottom of your deck in any order.",NULL,NULL,booster, Double Diamond [Bt-06]
BT6-010,Flamemon,3,Digimon,Red,Hybrid,Variable,Wizard,3000,4,0,2,NULL,NULL,NULL,"[Your Turn] While this Digimon has [Hybrid] or [Ten Warriors] in its form or type, it gains ＜Piercing＞. (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would.)",NULL,booster, Double Diamond [Bt-06]
BT6-011,BaoHuckmon,4,Digimon,Red,Champion,Data,Dinosaur,6000,5,2,3,NULL,NULL,NULL,"[When Attacking][Once Per Turn] If you have a Digimon with [Sistermon] in its name in play, delete 1 of your opponent's Digimon with 5000 DP or less.",NULL,booster, Double Diamond [Bt-06]
BT6-012,Deltamon,4,Digimon,Red,Champion,Virus,Composite,7000,5,2,3,NULL,NULL,NULL,NULL,NULL,booster, Double Diamond [Bt-06]
BT6-013,Megadramon,5,Digimon,Red,Ultimate,Virus,Cyborg,7000,6,3,4,3,4,[Your Turn] This Digimon is also treated as black.,[Your Turn] This Digimon gets +2000 DP.,NULL,booster, Double Diamond [Bt-06]
BT6-014,Asuramon,5,Digimon,Red,Ultimate,Vaccine,Wizard,8000,7,3,4,NULL,NULL,[When Digivolving] ＜Blitz＞ (This Digimon can attack when your opponent has 1 or more memory.),NULL,NULL,booster, Double Diamond [Bt-06]
BT6-015,SaviorHuckmon,5,Digimon,Red,Ultimate,Data,Dragonkin,7000,7,3,4,NULL,NULL,[When Digivolving] You may play 1 Digimon card with [Sistermon] in its name from your hand without paying its memory cost.,"[When Attacking][Once Per Turn] If you have a Digimon with [Sistermon] in its name in play, unsuspend this Digimon.",NULL,booster, Double Diamond [Bt-06]
BT6-016,Jesmon,6,Digimon,Red,Mega,Data,Holy Warrior/Royal Knight,11000,11,3,5,NULL,NULL,"[When Attacking] You may play 1 Digimon card with [Sistermon] in its name from your hand or trash without paying its memory cost. [Your Turn][Once Per Turn] When you play another Digimon, this Digimon gets +3000 DP and ＜Piercing＞ for the turn. (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would.)",NULL,NULL,booster, Double Diamond [Bt-06]
BT6-017,MagnaKidmon,6,Digimon,Red,Mega,Virus,Dragonkin/Three Musketeers,11000,12,4,5,NULL,NULL,"＜Security Attack +1＞ (This Digimon checks 1 additional security card.)[When Digivolving] You may use 1 Option card with a memory cost of 7 in your hand without paying its memory cost. If you don't, delete 1 of your opponent's Digimon with 4000 DP or less.",NULL,NULL,booster, Double Diamond [Bt-06]
BT6-018,Agumon - Bond of Bravery,7,Digimon,Red,Mega,Unknown,Unknown,14000,14,3,6,NULL,NULL,"[When Attacking] If you have a Tamer in play, delete 1 of your opponent's Digimon with 13000 DP or less.[Your Turn][Once Per Turn] When an opponent's Digimon is deleted, trash the top card of their security stack.",NULL,NULL,booster, Double Diamond [Bt-06]
BT6-019,Gabumon,3,Digimon,Blue,Rookie,Data,Reptile,2000,3,0,2,NULL,NULL,"[All Turns][Once Per Turn] When you play a Tamer with [Matt Ishida] in its name, gain 1 memory.","[When Attacking][Once Per Turn] If this Digimon is [Gabumon - Bond of Friendship], you may unsuspend it.",NULL,booster, Double Diamond [Bt-06]
BT6-020,Gizamon,3,Digimon,Blue,Rookie,Virus,Sea Animal,2000,3,0,2,NULL,NULL,NULL,"[Your Turn] While your opponent has no Digimon with digivolution cards in play, this Digimon gets +2000 DP.",NULL,booster, Double Diamond [Bt-06]
BT6-021,ModokiBetamon,3,Digimon,Blue,Rookie,Data,Amphibian,2000,3,0,2,NULL,NULL,[All Turns] Your opponent can't gain memory except with Tamer effects.,NULL,NULL,booster, Double Diamond [Bt-06]
BT6-022,Strabimon,3,Digimon,Blue,Hybrid,Variable,Beastkin,3000,4,0,2,NULL,NULL,NULL,"[When Attacking][Once Per Turn] If this Digimon has [Hybrid] or [Ten Warriors] in its form or type, gain 1 memory.",NULL,booster, Double Diamond [Bt-06]
BT6-023,Octomon,4,Digimon,Blue,Champion,Virus,Mollusk,7000,5,2,3,NULL,NULL,NULL,NULL,NULL,booster, Double Diamond [Bt-06]
BT6-024,Mojyamon,4,Digimon,Blue,Champion,Vaccine,Rare Animal,5000,5,2,3,NULL,NULL,"[Your Turn] While your opponent has no Digimon with digivolution cards in play, this Digimon gains ＜Jamming＞. (This Digimon can't be deleted in battles against Security Digimon.)",[When Attacking] Trash 1 digivolution card from the bottom of 1 of your opponent's Digimon.,NULL,booster, Double Diamond [Bt-06]
BT6-025,Panjyamon,5,Digimon,Blue,Ultimate,Data,Beastkin,6000,5,3,4,NULL,NULL,NULL,[When Attacking][Once Per Turn] Gain 1 memory.,NULL,booster, Double Diamond [Bt-06]
BT6-026,Dragomon,5,Digimon,Blue,Ultimate,Virus,Aquabeast,7000,6,3,4,NULL,NULL,[When Digivolving] Return 1 of your opponent's level 4 or lower Digimon with no digivolution cards to its owner's hand.,NULL,NULL,booster, Double Diamond [Bt-06]
