"Code","Deck_Type","Deck_Name","Name","Card_Type","Form","Attribute","Type","Color","Card_Level","DP","Play_Cost","Cost_Digievolution1","Level_Digievolution1","Cost_Digievolution2","Level_Digievolution2","Effect","Digivolve_Effect","Security_Effect"
"BT5-068","Booster","Battle Of Omega","BlackMachGaogamon","Digimon","Ultimate","Data","Cyborg","Black","6",7000,8,3,"4",NA,NA,"<Reboot> (Unsuspend this Digimon during your opponent's unsuspend phase.)","[Your Turn] While this Digimon has <Reboot>, it gets +2000 DP.","-"
"BT5-069","Booster","Battle Of Omega","BlackWarGreymon","Digimon","Mega","Virus","Dragonkin","Black","6",12000,11,4,"5",NA,NA,"<Security Attack +1> (This Digimon checks 1 additional security card.)<Reboot> (Unsuspend this Digimon during your opponent's unsuspend phase.)","-","-"
"BT5-070","Booster","Battle Of Omega","MetalGarurumon","Digimon","Mega","Virus","Cyborg","Black","3",11000,11,3,"5",NA,NA,"<Reboot> (Unsuspend this Digimon during your opponent's unsuspend phase.)[When Digivolving] <Digi-Burst 2> (Trash 2 of this Digimon's Digivolution cards to activate the effect below.)·Delete 1 of your opponent's Digimon with a play cost of 6 or less. If no Digimon was deleted by this effect, trash the top card of your opponent's security stack.","-","-"
"BT5-071","Booster","Battle Of Omega","Guilmon","Digimon","Rookie","Virus","Reptile","Purple","3",2000,3,0,"2",NA,NA,"[On Deletion] If this card was deleted by an effect, gain 1 memory.","-","-"
"BT5-072","Booster","Battle Of Omega","Fake Agumon Expert","Digimon","Rookie","Virus","Dinosaur","Purple","3",1000,3,0,"2",NA,NA,"[On Deletion] You may return 1 level 3 Digimon card with an [On Deletion] effect other than [Fake Agumon Expert] from your trash to your hand.","-","-"
"BT5-073","Booster","Battle Of Omega","Pillomon","Digimon","Rookie","Vaccine","Mammal","Purple","4",4000,3,0,"2",NA,NA,"-","-","-"
"BT5-074","Booster","Battle Of Omega","Troopmon","Digimon","Champion","Data","Undead","Purple","4",3000,4,2,"3",NA,NA,"[On Deletion] You may play 1 [Troopmon] from your hand without paying its memory cost.","-","-"
"BT5-075","Booster","Battle Of Omega","Musyamon","Digimon","Champion","Virus","Wizard","Purple","4",4000,4,2,"3",NA,NA," <Jamming> (This Digimon can't be deleted in battles against Security Digimon.)","-","-"
"BT5-076","Booster","Battle Of Omega","BlackGrowlmon","Digimon","Champion","Virus","Dark Dragon","Purple","5",4000,5,2,"3",NA,NA,"-","[Your Turn][Once Per Turn] When one of your other Digimon is deleted, this Digimon gains <Security Attack +1> (This Digimon checks 1 additional security card) for the turn.","-"
"BT5-077","Booster","Battle Of Omega","Vajramon","Digimon","Ultimate","Vaccine","Holy Beast/Deva","Purple","5",8000,7,2,"4",NA,NA,"-","-","-"
"BT5-078","Booster","Battle Of Omega","Jokermon","Digimon","Ultimate","Virus","Wizard","Purple","5",7000,7,3,"4",NA,NA,"[On Deletion] You may play 1 level 3 purple Digimon card from your trash without paying its memory cost. Any [On Play] effects on Digimon played with this effect don't activate.","-","-"
"BT5-079","Booster","Battle Of Omega","BlackWarGrowlmon","Digimon","Ultimate","Virus","Cyborg","Purple","6",7000,8,3,"4",NA,NA,"[Main] <Digi-Burst 3> (Trash 3 of this Digimon's Digivolution cards to activate the effect below.)·You may play 1 level 3 purple Digimon card from your trash without paying its memory cost. Any [On Play] effects on Digimon played with this effect don't activate.","[When Attacking][Once Per Turn] You may delete 1 of your other Digimon to unsuspend this Digimon.","-"
"BT5-080","Booster","Battle Of Omega","Zanbamon","Digimon","Mega","Virus","Wizard","Purple","6",10000,10,2,"5",NA,NA,"<Retaliation> (When this Digimon is deleted after losing a battle, delete the Digimon it was battling.)","-","-"
"BT5-081","Booster","Battle Of Omega","ChaosGallantmon","Digimon","Mega","Virus","Dark Knight","Purple","6",12000,12,4,"5",NA,NA,"[When Digivolving] You may delete 1 of your other Digimon to delete 1 of your opponent's level 5 or lower Digimon.[Your Turn][Once Per Turn] When one of your other Digimon is deleted, you may play 1 level 3 purple Digimon card from your trash without paying its memory cost. Any [On Play] effects on Digimon played with this effect don't activate.","-","-"
"BT5-082","Booster","Battle Of Omega","Tactimon","Digimon","Mega","Data","Wizard","Purple","7",11000,12,3,"5",NA,NA,"[When Attacking] Activate 1 of the effects below. If you have no other Digimon in play, activate all of the effects below instead.·Gain 1 memory.·This Digimon gets +2000 DP for the turn.·Delete up to 3 of your opponent's level 3 Digimon.","-","-"
"BT5-083","Booster","Battle Of Omega","Megidramon","Digimon","Mega","Virus","Evil Dragon/Four Great Dragons","Purple","7",11000,12,3,"5",3,"5","[When Digivolving] Both players trash the top 5 cards of their decks.[On Deletion] If you have a Tamer in play, you may play 1 level 6 Digimon card with [Gallantmon] in its name from your hand or trash without paying its memory cost.","-","-"
"BT5-084","Booster","Battle Of Omega","Diaboromon","Digimon","Mega","Unknown","Unidentified","White","7",11000,11,3,"5",NA,NA,"[When Digivolving] You may play 1 [Diaboromon] Token without paying its memory cost. (Diaboromon Tokens are level 6 white Digimon with a memory cost of 14, 3000 DP, and are Mega form, Unidentified type, and Unknown attribute.)","-","-"
"BT5-085","Booster","Battle Of Omega","Armageddemon","Digimon","Mega","Unknown","Unidentified","White","7",15000,15,3,"6",3,"6","When playing this card from your hand, you may delete 1 of your [Diaboromon] to reduce this card's play cost by 12.<Rush> (This Digimon can attack the turn it comes into play.)[All Turns] The [When Digivolving] effects on level 7 Digimon don't activate.","-","-"
"BT5-086","Booster","Battle Of Omega","Omnimon","Digimon","Mega","Vaccine","Holy Warrior/Royal Knight","White","6",14000,15,4,"6",4,"6","[When Digivolving] <Blitz> (This Digimon can attack when your opponent has 1 or more memory.)[When Digivolving] Unsuspend this Digimon.[All Turns] If an opponent's effect would delete this Digimon or return it to its owner's hand or deck, you may prevent it from leaving play by trashing a level 6 Digimon card in this card's digivolution cards.","-","-"
"BT5-086","Booster","Battle Of Omega","Omnimon","Digimon","Mega","Vaccine","Holy Warrior/Royal Knight","White","7",14000,15,4,"6",4,"6","[When Digivolving] <Blitz> (This Digimon can attack when your opponent has 1 or more memory.)[When Digivolving] Unsuspend this Digimon.[All Turns] If an opponent's effect would delete this Digimon or return it to its owner's hand or deck, you may prevent it from leaving play by trashing a level 6 Digimon card in this card's digivolution cards.","-","-"
"BT5-087","Booster","Battle Of Omega","Omnimon Zwart","Digimon","Mega","Vaccine","Holy Warrior","White","7",15000,15,6,"6",6,"6","[When Digivolving] Trash the top 3 cards of your deck. Then, you may play up to 2 black or purple Digimon cards with play costs of 8 or less from your trash without paying their memory costs.[When Attacking] You may return 1 level 6 Digimon card in this Digimon's digivolution cards to its owner's hand to delete 1 of your opponent's unsuspended Digimon with a play cost of 12 or less.","-","-"
"BT5-111","Booster","Battle Of Omega","Omnimon X Anti-body","Digimon","Mega","Vaccine","Holy Warrior/Royal Knight/X-Antibody","White","7",15000,15,6,"6",6,"6","Your Digimon with [Omnimon] in its name can digivolve into this card in your hand for a memory cost of 3, ignoring this card's digivolution requirements.[When Attacking] Delete 1 of your opponent's Digimon with DP less than or equal to this Digimon's DP.[Opponent's Turn] When your opponent's Digimon attacks, you may trash 2 of this Digimon's digivolution cards to end the attack.","-","-"
"BT5-112","Booster","Battle Of Omega","Omnimon Zwart Defeat","Digimon","Mega","Virus","Holy Warrior","White","7",13000,15,3,"6",3,"6","[Security] Play this card without battling and without paying its memory cost.[When Digivolving] Delete 1 of your opponent's Tamers.[On Deletion] Delete 1 of your opponent's Digimon.","-","-"
"BT5-088","Booster","Battle Of Omega","Sora Takenouchi & Joe Kido","Tamer","-","-","-","Blue",NA,NA,4,NA,NA,NA,NA,"[Start of Your Turn] If your opponent has a Digimon with no digivolution cards in play, gain 2 memory.[Your Turn] When you attack with a blue Digimon, you may suspend this Tamer to trash up to 2 digivolution cards from the bottom of 1 of your opponent's Digimon.","-","[Security] Play this card without paying its memory cost."
"BT5-089","Booster","Battle Of Omega","Izzy Izumi & Mimi Tachikawa","Tamer","-","-","-","Green",NA,NA,4,NA,NA,NA,NA,"[Start of Your Turn] If your opponent has a suspended Digimon in play, gain 2 memory.[Your Turn] When you attack with a level 5 green Digimon, you may suspend this Tamer to reveal 3 cards from the top of your deck. You may digivolve 1 green level 6 Digimon card among them onto the attacking Digimon without paying its memory cost. Place the remaining cards at the bottom of your deck in any order.","-","[Security] Play this card without paying its memory cost."
"BT5-090","Booster","Battle Of Omega","Arata Sanada","Tamer","-","-","-","Black",NA,NA,3,NA,NA,NA,NA,"[Start of Your Turn] If a Digimon card with [Unidentified] in its type is in your trash, gain 1 memory.[Your Turn] When one of your Digimon digivolves into [Diaboromon], you may suspend this Tamer to play 1 [Diaboromon] Token without paying its memory cost. (Diaboromon Tokens are level 6 white Digimon with a memory cost of 14, 3000 DP, and are Mega form, Unidentified type, and Unknown attribute.)","-","[Security] Play this card without paying its memory cost."
"BT5-091","Booster","Battle Of Omega","Takumi Aiba","Tamer","-","-","-","White",NA,NA,2,NA,NA,NA,NA,"[Your Turn] When one of your Digimon digivolves, you may suspend this Tamer to trigger <Draw 1>. (Draw 1 card from your deck.)[All Turns] All level 3 Digimon gain ""[When Attacking] Lose 1 memory.""","-","[Security] Play this card without paying its memory cost."
"BT5-092","Booster","Battle Of Omega","Nokia Shiramine","Tamer","-","-","-","White",NA,NA,3,NA,NA,NA,NA,"[On Play] You may play 1 [Agumon] or [Gabumon] from your hand without paying its memory cost.[Main] When digivolving one of your Digimon into a Digimon card in your hand with [Garurumon], [Omnimon], or [Greymon] (other than [DoruGreymon], [BurningGreymon], or [DexDoruGreymon]), in its name, you may suspend this Tamer to reduce the memory cost of the digivolution by 1.","-","[Security] Play this card without paying its memory cost."
"BT5-093","Booster","Battle Of Omega","Tai Kamiya & Matt Ishida","Tamer","-","-","-","White",NA,NA,4,NA,NA,NA,NA,"[Start of Your Turn] If your opponent has a level 6 or higher Digimon in play, gain 2 memory.[Your Turn] All of your Digimon with [Omnimon] in their names gain <Security Attack +1>. (This Digimon checks 1 additional security card.)","-","[Security] Play this card without paying its memory cost."
"BT5-094","Booster","Battle Of Omega","Rowdy Rocker","Option","-","-","-","Red",NA,NA,2,NA,NA,NA,NA,"[Main] You may place 1 red level 4 or lower Digimon card from your hand under 1 of your Digimon as its bottom digivolution card. If you do, trigger <Draw 2>. (Draw 2 cards from your deck.)","-","[Security] Add this card to its owner's hand."
"BT5-095","Booster","Battle Of Omega","Transcendent Sword","Option","-","-","-","Red",NA,NA,7,NA,NA,NA,NA,"[Main] Delete 1 of your opponent's Digimon with 11000 DP or less. If you have a Digimon in play with [Omnimon] or [Greymon] (other than [DoruGreymon], [BurningGreymon], or [DexDoruGreymon]) in its name, delete 1 of your opponent's Digimon with 15000 DP or less instead.","-","[Security] Activate this card's [Main] effect."
"BT5-096","Booster","Battle Of Omega","Supreme Cannon","Option","-","-","-","Blue",NA,NA,3,NA,NA,NA,NA,"[Main] Return all of your opponent's Digimon with 3000 DP or less to their owners' hands. If you have a Digimon in play with [Garurumon] or [Omnimon] in its name, return all of your opponent's Digimon with 5000 DP or less to their owners' hands instead. Trash all of the digivolution cards of those Digimon.","-","[Security] Activate this card's [Main] effect."
"BT5-097","Booster","Battle Of Omega","Absolute Blast","Option","-","-","-","Blue",NA,NA,6,NA,NA,NA,NA,"[Main] Trash the bottom digivolution card of 1 of your opponent's Digimon. Then, return 1 of your opponent's Digimon with no digivolution cards to the bottom of its owner's deck.","-","[Security] Activate this card's [Main] effect."
"BT5-098","Booster","Battle Of Omega","Meteor Shower","Option","-","-","-","Yellow",NA,NA,3,NA,NA,NA,NA,"[Main] You may play 1 yellow Digimon card with [Starmon] in its name from your hand without paying its memory cost.","-","[Security] Activate this card's [Main] effect."
"BT5-099","Booster","Battle Of Omega","Spiral Masquerade","Option","-","-","-","Yellow",NA,NA,4,NA,NA,NA,NA,"[Main] For each Digimon you have in play, activate the effect below.·1 of your opponent's Digimon gets -3000 DP for the turn.","-","[Security] Activate this card's [Main] effect."
"BT5-100","Booster","Battle Of Omega","Royal Nuts","Option","-","-","-","Green",NA,NA,1,NA,NA,NA,NA,"[Main] Reveal 5 cards from the top of your deck. Add 1 Digimon card with <Digisorption> among them to your hand. Place the remaining cards at the bottom of your deck in any order.","-","[Security] Add this card to its owner's hand."
"BT5-101","Booster","Battle Of Omega","You Can't Actually Fly?","Option","-","-","-","Green",NA,NA,3,NA,NA,NA,NA,"[Main] Suspend 1 of your opponent's Digimon. Then, if your opponent has a level 7 Digimon in play, trash the top card of their security stack.","-","[Security] Add this card to its owner's hand."
"BT5-102","Booster","Battle Of Omega","Wisselen","Option","-","-","-","Green",NA,NA,6,NA,NA,NA,NA,"[Main] Up to 2 of your opponent's Digimon can't attack or block until the end of your opponent's next turn. Then, if you have a Digimon with <Digi-Burst> in play, gain 2 memory.","-","[Security] Up to 2 of your opponent's Digimon can't attack until the end of the turn. Then, if you have a Digimon with <Digi-Burst> in play, gain 2 memory."
"BT5-103","Booster","Battle Of Omega","A Blazing Storm of Metal!","Option","-","-","-","Black",NA,NA,1,NA,NA,NA,NA,"[Main] Until the end of your opponent's next turn, all of your Digimon with <Reboot> get +1000 DP and <Blocker>. (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)","-","[Security] Your opponent's Digimon can't attack players for the turn. Then, add this card to your hand."
"BT5-104","Booster","Battle Of Omega","Catastrophe Cannon","Option","-","-","-","Black",NA,NA,4,NA,NA,NA,NA,"[Main] Trigger <De-Digivolve 2> on 1 of your opponent's Digimon. (Trash up to 2 cards from the top of one of your opponent's Digimon. If it has no digivolution cards, or becomes a level 3 Digimon, you can't trash any more cards.) Then, if you have a [Diaboromon] in play, you may play 1 [Diaboromon] Token without paying its memory cost. (Diaboromon Tokens are level 6 white Digimon with a memory cost of 14, 3000 DP, and are Mega form, Unidentified type, and Unknown attribute.)","-","[Security] Activate this card's [Main] effect."
"BT5-105","Booster","Battle Of Omega","Ultimate Flare","Option","-","-","-","Black",NA,NA,8,NA,NA,NA,NA,"[Main] Trigger <De-Digivolve 3> on 1 of your opponent's Digimon. (Trash up to 3 cards from the top of one of your opponent's Digimon. If it has no digivolution cards, or becomes a level 3 Digimon, you can't trash any more cards.) Then, delete all of your opponent's Digimon with play costs of 3 or less.","-","[Security] Activate this card's [Main] effect."
"BT5-106","Booster","Battle Of Omega","Demonic Disaster","Option","-","-","-","Purple",NA,NA,1,NA,NA,NA,NA,"[Main] You may delete 1 of your Digimon to unsuspend 1 of your purple Digimon.","-","[Security] You may play 1 level 3 purple Digimon card from your trash without paying its memory cost. Any [On Play] effects on Digimon played with this effect don't activate."
"BT5-107","Booster","Battle Of Omega","Revive From the Darkness!","Option","-","-","-","Purple",NA,NA,4,NA,NA,NA,NA,"[Main] Delete 1 of your purple Digimon. Then, you may play 1 level 5 or lower purple Digimon card from your trash without paying its memory cost. Any [On Play] effects on Digimon played with this effect don't activate.","-","[Security] Add this card to its owner's hand."
"BT5-108","Booster","Battle Of Omega","Earth Shaker","Option","-","-","-","Purple",NA,NA,6,NA,NA,NA,NA,"[Main] Delete 1 of your opponent's unsuspended level 4 Digimon and 1 of your opponent's unsuspended level 5 Digimon.","-","[Security] Activate this card's [Main] effect."
"BT5-109","Booster","Battle Of Omega","Mega Digimon Fusion!","Option","-","-","-","White",NA,NA,NA,NA,NA,NA,NA,"[Main] The next time one of your Digimon digivolves from level 6 to level 7 this turn, reduce the cost of the digivolution by 6. At the end of the turn, return the Digimon that digivolved with this effect to the bottom of its owner's deck. Trash all of the digivolution cards of that Digimon.","-","[Security] Add this card to its owner's hand."
"BT5-110","Booster","Battle Of Omega","All Delete","Option","-","-","-","White",NA,NA,10,NA,NA,NA,NA,"[Main] You may return 1 of your Digimon with [Omnimon] in its name to its owner's hand to delete all Digimon and Tamers. Trash all of the digivolution cards of the Digimon you returned with this effect.","-","[Security] Add this card to its owner's hand."
"BT1-003","Booster","Double Diamond","Upamon","Digi-Egg","In-Training","-","Amphibian","Blue","2",NA,NA,NA,NA,NA,NA,"-","[When Attacking][Once Per Turn] If your opponent has a Digimon with no digivolution cards in play, trigger <Draw 1>. (Draw 1 card from your deck.)","-"
"BT1-084","Booster","Double Diamond","Omnimon","Digimon","Mega","Vaccine","Holy Warrior/Royal Knight","White","2",15000,15,6,"6",6,"6","[When Digivolving] Choose 1 of your opponent's Digimon. Delete all of your opponent's Digimon that share a name with it.[When Attacking] You can unsuspend this Digimon by returning 1 of this Digimon's level 6 digivolution cards to your hand.","-","-"
"BT2-074","Booster","Double Diamond","Devimon","Digimon","Champion","Virus","Fallen Angel","Purple","2",4000,6,2,"3",NA,NA,"<Retaliation> (When this Digimon is deleted after losing a battle, delete the Digimon it was battling.)","<Retaliation> (When this Digimon is deleted after losing a battle, delete the Digimon it was battling.)","-"
"BT2-083","Booster","Double Diamond","Millenniummon","Digimon","Mega","Virus","Composite","White","2",13000,15,6,"6",6,"6","[When Digivolving] Return 1 of your opponent's Digimon to the bottom of their deck. Trash all of the digivolution cards of that Digimon.[On Deletion] If this card had digivolution cards, you may play this card from your trash without paying its memory cost.","-","-"
"BT3-021","Booster","Double Diamond","Veemon","Digimon","Rookie","Free","Mini Dragon","Blue","2",2000,3,0,"2",NA,NA,"<Jamming> (This Digimon can't be deleted in battles against Security Digimon.)","-","-"
"BT3-039","Booster","Double Diamond","Angewomon","Digimon","Ultimate","Vaccine","Archangel","Yellow","2",6000,7,3,"4",NA,NA,"[When Digivolving] 1 of your opponent's Digimon gains <Security Attack -2> (This Digimon checks 2 fewer security cards) until the end of your opponent's next turn.","[When Attacking] If you have 3 or fewer security cards, you may play 1 yellow level 3 Digimon card from your hand without paying its memory cost.","-"
"BT3-046","Booster","Double Diamond","Terriermon","Digimon","Rookie","Vaccine","Beast","Green","3",2000,3,0,"2",NA,NA,"[All Turns] Your opponent can't gain memory except with Tamer effects.","-","-"
"BT3-057","Booster","Double Diamond","MegaGargomon","Digimon","Mega","Vaccine","Machine","Green","3",11000,12,4,"5",NA,NA,"[When Digivolving] Suspend 1 of your opponent's Digimon. It doesn't unsuspend during your opponent's next unsuspend phase.[Your Turn] While your opponent has a suspended Digimon in play, this Digimon gains <Security Attack +1>. (This Digimon checks 1 additional security card.)","-","-"
"BT4-016","Booster","Double Diamond","Aldamon","Digimon","Hybrid","Variable","Wizard","Red","3",7000,8,3,"4",NA,NA,"<Security Attack +1> (This Digimon checks 1 additional security card.)[Your Turn] While this Digimon's digivolution cards include a Digimon card with [Hybrid] in its form or a red Tamer card, it gets +4000 DP.","-","-"
"BT4-091","Booster","Double Diamond","Chaosmon: Valdur Arm","Digimon","Mega","Vaccine","Unique","White","3",14000,15,6,"6",6,"6","[When Digivolving] Activate the following effect twice.·1 of your opponent's Digimon gets -7000 DP for the turn.[On Deletion] Gain 3 memory.","-","-"
"BT6-001","Booster","Double Diamond","DemiMeramon","Digi-Egg","In-Training","-","Flame","Red","4",NA,NA,NA,NA,NA,NA,"-","[When Attacking] When this Digimon attacks a player, it gets +1000 DP for the turn.","-"
"BT6-002","Booster","Double Diamond","Kyaromon","Digi-Egg","In-Training","-","Lesser","Blue","5",NA,NA,NA,NA,NA,NA,"-","[Your Turn][Once Per Turn] When one of your opponent's digivolution cards is trashed, trigger <Draw 1>. (Draw 1 card from your deck.)","-"
"BT6-003","Booster","Double Diamond","Bibimon","Digi-Egg","In-Training","-","Lesser","Yellow","5",NA,NA,NA,NA,NA,NA,"-","[When Attacking][Once Per Turn] If you have 3 security cards, gain 1 memory.","-"
"BT6-003","Booster","Double Diamond","Bibimon","Digi-Egg","In-Training","-","Lesser","Yellow","6",NA,NA,NA,NA,NA,NA,"-","[When Attacking][Once Per Turn] If you have 3 security cards, gain 1 memory.","-"
"BT6-004","Booster","Double Diamond","Pinamon","Digi-Egg","In-Training","-","Bird","Green","6",NA,NA,NA,NA,NA,NA,"-","[When Attacking][Once Per Turn] If you attack an opponent's Digimon, trigger <Draw 1>. (Draw 1 card from your deck.)","-"
"BT6-004","Booster","Double Diamond","Pinamon","Digi-Egg","In-Training","-","Bird","Green","7",NA,NA,NA,NA,NA,NA,"-","[When Attacking][Once Per Turn] If you attack an opponent's Digimon, trigger <Draw 1>. (Draw 1 card from your deck.)","-"
"BT6-005","Booster","Double Diamond","Pagumon","Digi-Egg","In-Training","-","Lesser","Black","3",NA,NA,NA,NA,NA,NA,"-","[On Deletion] Reveal the top card of your deck. Add it to your hand if it's a black Digimon card. Otherwise, place it at the bottom of your deck.","-"
"BT6-006","Booster","Double Diamond","Tsunomon","Digi-Egg","In-Training","-","Lesser","Purple","3",NA,NA,NA,NA,NA,NA,"-","[Your Turn][Once Per Turn] When you trash a card in your hand using one of your effects, trigger <Draw 1>. (Draw 1 card from your deck.)","-"
"BT6-007","Booster","Double Diamond","Agumon","Digimon","Rookie","Vaccine","Reptile","Red","4",2000,3,0,"2",NA,NA,"[All Turns][Once Per Turn] When you play a Tamer with [Tai Kamiya] in its name, gain 1 memory.","[Your Turn] While this Digimon is [Agumon - Bond of Bravery], it gains <Security Attack +1>. (This Digimon checks 1 additional security card.)","-"
"BT6-008","Booster","Double Diamond","Shoutmon","Digimon","Rookie","Data","Mini Dragon","Red","5",2000,3,0,"2",NA,NA,"-","[When Attacking][Once Per Turn] If this Digimon has <Blitz>, trigger <Draw 1>. (Draw 1 card from your deck.)","-"
"BT6-009","Booster","Double Diamond","Huckmon","Digimon","Rookie","Data","Mini Dragon","Red","5",2000,3,0,"2",NA,NA,"[On Play] Reveal the top 5 cards of your deck. Add up to 2 Digimon cards with [Huckmon], [Jesmon], or [Sistermon] in their names among them to your hand. Place the remaining cards at the bottom of your deck in any order.","-","-"
"BT6-010","Booster","Double Diamond","Flamemon","Digimon","Hybrid","Variable","Wizard","Red","5",3000,4,0,"2",NA,NA,"-","[Your Turn] While this Digimon has [Hybrid] or [Ten Warriors] in its form or type, it gains <Piercing>. (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would.)","-"
"BT6-011","Booster","Double Diamond","BaoHuckmon","Digimon","Champion","Data","Dinosaur","Red","6",6000,5,2,"3",NA,NA,"-","[When Attacking][Once Per Turn] If you have a Digimon with [Sistermon] in its name in play, delete 1 of your opponent's Digimon with 5000 DP or less.","-"
"BT6-012","Booster","Double Diamond","Deltamon","Digimon","Champion","Virus","Composite","Red","6",7000,5,2,"3",NA,NA,"-","-","-"
"BT6-013","Booster","Double Diamond","Megadramon","Digimon","Ultimate","Virus","Cyborg","Red","7",7000,6,3,"4",3,"4","[Your Turn] This Digimon is also treated as black.","[Your Turn] This Digimon gets +2000 DP.","-"
"BT6-014","Booster","Double Diamond","Asuramon","Digimon","Ultimate","Vaccine","Wizard","Red","3",8000,7,3,"4",NA,NA,"[When Digivolving] <Blitz> (This Digimon can attack when your opponent has 1 or more memory.)","-","-"
"BT6-015","Booster","Double Diamond","SaviorHuckmon","Digimon","Ultimate","Data","Dragonkin","Red","3",7000,7,3,"4",NA,NA,"[When Digivolving] You may play 1 Digimon card with [Sistermon] in its name from your hand without paying its memory cost.","[When Attacking][Once Per Turn] If you have a Digimon with [Sistermon] in its name in play, unsuspend this Digimon.","-"
"BT6-016","Booster","Double Diamond","Jesmon","Digimon","Mega","Data","Holy Warrior/Royal Knight","Red","3",11000,11,3,"5",NA,NA,"[When Attacking] You may play 1 Digimon card with [Sistermon] in its name from your hand or trash without paying its memory cost. [Your Turn][Once Per Turn] When you play another Digimon, this Digimon gets +3000 DP and <Piercing> for the turn. (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would.)","-","-"
"BT6-016","Booster","Double Diamond","Jesmon","Digimon","Mega","Data","Holy Warrior/Royal Knight","Red","4",11000,11,3,"5",NA,NA,"[When Attacking] You may play 1 Digimon card with [Sistermon] in its name from your hand or trash without paying its memory cost. [Your Turn][Once Per Turn] When you play another Digimon, this Digimon gets +3000 DP and <Piercing> for the turn. (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would.)","-","-"
"BT6-017","Booster","Double Diamond","MagnaKidmon","Digimon","Mega","Virus","Dragonkin/Three Musketeers","Red","4",11000,12,4,"5",NA,NA,"<Security Attack +1> (This Digimon checks 1 additional security card.)[When Digivolving] You may use 1 Option card with a memory cost of 7 in your hand without paying its memory cost. If you don't, delete 1 of your opponent's Digimon with 4000 DP or less.","-","-"
"BT6-018","Booster","Double Diamond","Agumon - Bond of Bravery","Digimon","Mega","Unknown","Unknown","Red","4",14000,14,3,"6",NA,NA,"[When Attacking] If you have a Tamer in play, delete 1 of your opponent's Digimon with 13000 DP or less.[Your Turn][Once Per Turn] When an opponent's Digimon is deleted, trash the top card of their security stack.","-","-"
"BT6-019","Booster","Double Diamond","Gabumon","Digimon","Rookie","Data","Reptile","Blue","4",2000,3,0,"2",NA,NA,"[All Turns][Once Per Turn] When you play a Tamer with [Matt Ishida] in its name, gain 1 memory.","[When Attacking][Once Per Turn] If this Digimon is [Gabumon - Bond of Friendship], you may unsuspend it.","-"
"BT6-019","Booster","Double Diamond","Gabumon","Digimon","Rookie","Data","Reptile","Blue","5",2000,3,0,"2",NA,NA,"[All Turns][Once Per Turn] When you play a Tamer with [Matt Ishida] in its name, gain 1 memory.","[When Attacking][Once Per Turn] If this Digimon is [Gabumon - Bond of Friendship], you may unsuspend it.","-"
"BT6-020","Booster","Double Diamond","Gizamon","Digimon","Rookie","Virus","Sea Animal","Blue","5",2000,3,0,"2",NA,NA,"-","[Your Turn] While your opponent has no Digimon with digivolution cards in play, this Digimon gets +2000 DP.","-"
"BT6-021","Booster","Double Diamond","ModokiBetamon","Digimon","Rookie","Data","Amphibian","Blue","5",2000,3,0,"2",NA,NA,"[All Turns] Your opponent can't gain memory except with Tamer effects.","-","-"
"BT6-022","Booster","Double Diamond","Strabimon","Digimon","Hybrid","Variable","Beastkin","Blue","6",3000,4,0,"2",NA,NA,"-","[When Attacking][Once Per Turn] If this Digimon has [Hybrid] or [Ten Warriors] in its form or type, gain 1 memory.","-"
"BT6-023","Booster","Double Diamond","Octomon","Digimon","Champion","Virus","Mollusk","Blue","6",7000,5,2,"3",NA,NA,"-","-","-"
"BT6-024","Booster","Double Diamond","Mojyamon","Digimon","Champion","Vaccine","Rare Animal","Blue","6",5000,5,2,"3",NA,NA,"[Your Turn] While your opponent has no Digimon with digivolution cards in play, this Digimon gains <Jamming>. (This Digimon can't be deleted in battles against Security Digimon.)","[When Attacking] Trash 1 digivolution card from the bottom of 1 of your opponent's Digimon.","-"
"BT6-025","Booster","Double Diamond","Panjyamon","Digimon","Ultimate","Data","Beastkin","Blue","3",6000,5,3,"4",NA,NA,"-","[When Attacking][Once Per Turn] Gain 1 memory.","-"
"BT6-026","Booster","Double Diamond","Dragomon","Digimon","Ultimate","Virus","Aquabeast","Blue","3",7000,6,3,"4",NA,NA,"[When Digivolving] Return 1 of your opponent's level 4 or lower Digimon with no digivolution cards to its owner's hand.","-","-"
"BT6-027","Booster","Double Diamond","Majiramon","Digimon","Ultimate","Data","Holy Dragon/Deva","Blue","3",7000,7,3,"4",NA,NA,"[When Digivolving] Trash 1 digivolution card from the top of 1 of your opponent's Digimon.","[When Attacking][Once Per Turn] If your opponent has no Digimon with digivolution cards in play, unsuspend this Digimon.","-"
"BT6-028","Booster","Double Diamond","Pukumon","Digimon","Mega","Virus","Mutant","Blue","4",11000,11,3,"5",NA,NA,"[Main] <Digi-Burst 2> (Trash 2 of this Digimon's Digivolution cards to activate the effect below.)·Your Digimon can't be blocked by your opponent's Digimon this turn.","-","-"
